region,confirmed,deceased,vaccinated,population
World,266775236,5279091,4334361857,7867167081
United States,50149325,810254,235698738,333775983
India,34648383,473757,801417375,1399383625
Brazil,22147476,615789,164589731,214718105
United Kingdom,10515239,145646,51094640,68395562
Russia,9833749,282462,68029825,146226276
Turkey,8921150,78017,56371961,85635216
France,7928572,119535,52031795,65479937
Germany,6219169,103913,59855421,84166800
Iran,6137821,130277,58094169,85528070
Argentina,5343153,116680,36993929,45788182
Italy,5118576,134287,47389331,60334736
Colombia,5082762,128821,38371156,51657480
Indonesia,4257815,143876,142432347,277654573
Mexico,3902015,295312,78268776,130867492
Poland,3684671,85700,20968528,37787358
Ukraine,3510610,88986,13753064,43358094
South Africa,3038075,89975,17840592,60376468
Philippines,2835345,49591,40517967,111663595
Netherlands,2772919,19702,13250117,17189057
Malaysia,2663034,30652,25846528,32958138
Czechia,2262666,33902,6695100,10737376
Peru,2245146,201421,22542649,33627626
Thailand,2148766,20995,48525815,70050291
Iraq,2084961,23903,7545538,41509921
Belgium,1868906,27319,8850517,11661699
Canada,1812244,29800,30815618,38214862
Romania,1786839,57153,7766483,19054198
Chile,1774048,38531,16903203,19350607
Japan,1728015,18365,99926796,125922947
Bangladesh,1577720,28005,64284262,167032920
Israel,1346670,8209,6372027,9326000
Vietnam,1323683,26483,73155299,98589635
Pakistan,1287393,28784,81806077,227012401
Serbia,1265228,11955,3272681,8687055
Sweden,1212145,15136,7611128,10189240
Austria,1203103,12844,6403918,9079824
Portugal,1169003,18551,9053901,10154206
Hungary,1161879,35835,6159926,9625284
Switzerland,1063466,11628,5855591,8745045
Jordan,981767,11787,4174421,10347811
Kazakhstan,976327,12791,8778757,19097440
Greece,971148,18716,7147103,10350264
Cuba,963194,8310,10190888,11316734
Morocco,950643,14788,24517118,37535330
Georgia,871580,12466,1219086,3978221
Nepal,822830,11543,9879648,29884692
United Arab Emirates,742376,2149,9801529,10061048
Slovakia,732495,14900,2651783,5463422
Tunisia,718443,25401,6187495,11995247
Bulgaria,705586,29060,1786530,6873653
Lebanon,679625,8785,1949439,6781746
Belarus,665125,5176,3618830,9444880
Croatia,631765,11269,2206995,4069070
Guatemala,619891,15992,6090684,18388494
Ireland,597161,5707,3863948,5016559
Azerbaijan,596973,7983,5098541,10269722
Sri Lanka,568423,14484,15943166,21541549
Costa Rica,567614,7318,3887480,5160565
Saudi Arabia,549955,8845,24684104,35587827
Bolivia,544666,19247,5109553,11900368
Ecuador,529349,33484,13796237,18025509
Myanmar,524638,19146,16485315,54930935
Denmark,516257,2956,4580168,5821351
Lithuania,482458,6886,1878638,2667964
South Korea,482310,3957,42678737,51332250
Panama,479053,7374,3011405,4411724
Paraguay,463427,16479,3395632,7257650
Venezuela,435461,5202,16415684,28320759
Palestine,432265,4554,1910794,5270549
Slovenia,430839,5317,1234641,2079346
Kuwait,413524,2465,3304574,4360736
Dominican Republic,408748,4212,6890583,11003287
Uruguay,401103,6136,2751833,3490934
Mongolia,383978,2020,2261533,3353647
Honduras,378351,10416,4395843,10129472
Libya,375468,5499,1710472,7004702
Ethiopia,372334,6804,8606341,119024277
Moldova,366751,9244,948882,4020560
Egypt,364033,20770,25927931,105088625
Armenia,341058,7718,799403,2971159
Oman,304612,4113,3310409,5291809
Norway,287123,1096,4245806,5481800
Bosnia and Herzegovina,278511,12780,833233,3251641
Bahrain,277856,1394,1190410,1785818
Singapore,269873,763,5071148,5916073
Latvia,257559,4277,1282981,1856376
Kenya,255469,5335,4938175,55460814
Qatar,244387,611,2360308,2807805
Estonia,225837,1826,830815,1327810
Australia,220552,2065,20106757,25922411
North Macedonia,217400,7658,885888,2083252
Nigeria,214789,2980,6524582,213425147
Algeria,211662,6111,6740064,44981074
Zambia,210327,3668,806611,19117848
Albania,201902,3115,1080490,2873305
Botswana,195552,2420,921104,2419371
Uzbekistan,194703,1424,17687886,34161708
Finland,194638,1383,4303144,5553022
Kyrgyzstan,183712,2762,1137694,6677834
Montenegro,158623,2331,277220,628180
Afghanistan,157508,7317,4397449,40178842
Mozambique,152000,1941,6572756,32503639
Zimbabwe,139046,4710,3875546,15171816
Cyprus,137538,602,625138,1219916
Ghana,131246,1228,2651463,31998273
Namibia,129796,3574,366698,2606573
Uganda,127689,3256,3838439,47799245
Cambodia,120286,2967,14159169,17049325
El Salvador,119803,3789,4439034,6532970
Cameroon,107148,1804,777338,27488114
Rwanda,100429,1343,5987745,13410053
China,99297,4636,1225000000,1439323776
Maldives,92368,255,395907,554131
Luxembourg,91709,885,454957,640515
Jamaica,91536,2410,682950,2979636
Laos,80722,210,3744740,7426286
Trinidad and Tobago,75935,2281,648920,1405964
Senegal,74031,1886,1321923,17373005
Angola,65259,1735,6774984,34323049
Malawi,61997,2307,1194939,19834756
Ivory Coast,61826,706,,27309723
Reunion,61188,384,,904440
DR Congo,58858,1113,,93441531
Guadeloupe,55284,748,,400222
Fiji,52562,697,651320,905726
Kosovo,51144,1332,858915,
Suriname,51052,1174,258498,594140
Syria,48709,2782,890837,18106919
Eswatini,47851,1248,271668,1177321
French Polynesia,46324,636,,283228
French Guiana,46205,329,,309720
Martinique,45501,718,,374849
Madagascar,44800,972,532674,28706024
Sudan,44170,3200,1154253,45309430
Malta,40015,468,436044,443224
Mauritania,39584,842,1075584,4823905
Cape Verde,38453,351,296998,564612
Guyana,38217,1008,402142,791975
Gabon,37511,281,166353,2300634
Papua New Guinea,35538,550,269366,9188865
Belize,30824,582,228517,407929
Guinea,30770,387,1680365,13640616
Togo,26315,243,1097253,8555449
Tanzania,26270,730,350000,62159356
Barbados,26200,240,153984,287878
Haiti,25638,750,118222,11601026
Benin,24863,161,339452,12575926
Seychelles,23537,127,81937,99217
Somalia,23051,1331,589128,16525276
The Bahamas,22839,705,,398611
Mauritius,22156,455,916524,1274784
Lesotho,21838,663,581857,2166510
Mayotte,21003,185,,282202
Burundi,20473,38,814,12395483
Timor-Leste,19828,122,,1354277
Channel Islands,19475,105,,176152
Congo,18970,354,521700,5711769
Iceland,18642,35,285726,344407
Andorra,18631,133,54999,77442
Mali,17971,618,708943,21082185
Curacao,17487,180,,165052
Nicaragua,17254,210,4053890,6737107
Tajikistan,17095,124,3024020,9843204
Taiwan,16683,848,18302323,23878385
Aruba,16450,174,,107414
Burkina Faso,16000,286,364565,21720365
Brunei,15202,98,404371,443462
Equatorial Guinea,13599,175,247933,1468650
Djibouti,13508,188,78388,1008512
Saint Lucia,13052,283,54804,184826
South Sudan,12823,133,185148,11381141
Hong Kong,12467,213,4780357,7583870
New Zealand,12428,44,3926572,5002100
New Caledonia,12291,279,,289418
Isle of Man,12035,66,,85676
Central African Republic,11742,101,362298,4949614
Yemen,10034,1955,548933,30762982
The Gambia,9992,342,,2513444
Cayman Islands,7663,9,,66824
Eritrea,7484,61,,3616500
Gibraltar,7376,100,,33677
Niger,7091,264,507223,25454484
Guinea-Bissau,6444,149,349317,2034337
Sierra Leone,6402,121,703231,8208424
San Marino,6217,94,25455,34033
Dominica,6086,42,28908,72241
Grenada,5909,200,40561,113268
Liberia,5824,287,494052,5227218
Bermuda,5751,106,,61949
Chad,5701,181,185794,17097669
Saint Vincent and the Grenadines,5623,76,31696,111444
Liechtenstein,4941,62,25762,38284
Sint Maarten,4608,75,,43571
Comoros,4548,151,281946,896027
Antigua and Barbuda,4148,117,61418,99087
Saint Martin,3973,56,,39607
Faroe Islands,3957,13,,49128
Monaco,3902,36,26672,39639
São Tomé and Príncipe,3733,56,,224967
Turks and Caicos Islands,3107,25,,39465
Caribbean Netherlands,3057,22,,26571
British Virgin Islands,2816,38,,30518
Saint Kitts and Nevis,2790,28,27927,53737
Bhutan,2641,3,589215,783742
Greenland,1621,,,56911
Saint Barthelemy,1603,6,,9920
Anguilla,1469,4,,15194
Wallis and Futuna,454,7,6016,10957
Saint Pierre and Miquelon,86,,,5754
Falkland Islands,83,,,3624
Macao,77,,486338,661973
Montserrat,44,1,,4996
Vatican City,27,,,804
Solomon Islands,20,,161521,710904
Kiribati,,,59492,
Summer Olympics 2020,,,,
Spain,,,38409145,46780663
Western Sahara,10,1,,618282
Palau,8,,,18217
Vanuatu,6,1,89472,317381
Marshall Islands,4,,,59761
Samoa,3,,139865,200298
Saint Helena,2,,4361,6103
Tonga,1,,73183,107406
Micronesia,1,,,116745
